funcion_entrenamiento,n_neurons,avg_c,C1_1,C1_2,C1_3,C2_1,C2_2,C2_3,C3_1,C3_2,C3_3,tiempo_entrenamiento
trainscg,20,0.0558888888888889,125.7,16.3,24,5.8,26,336.2,14.5,5.6,6645.9,1.134375
trainscg,21,0.0565555555555556,121.1,18.9,26,3.6,26.8,337.6,14.5,6.6,6644.9,1.2484375
trainscg,22,0.057375,117.9,17.1,31,4.5,22.9,340.6,14,5.9,6646.1,1.14375
trainscg,23,0.0543333333333333,128.1,18.4,19.5,6.5,42.3,319.2,17.1,10.5,6638.4,1.4265625
trainscg,24,0.0540277777777778,127.1,15.8,23.1,3.3,41.5,323.2,17.2,6.4,6642.4,1.4265625
trainscg,25,0.0592916666666667,106.1,17.8,42.1,2.8,20.6,344.6,12.2,7.4,6646.4,1.0578125
trainscg,26,0.0546527777777778,125,18.4,22.6,5.3,39.8,322.9,15.8,8.5,6641.7,1.396875
trainscg,27,0.0554583333333333,114.6,25.8,25.6,3.4,43.5,321.1,14.1,9.3,6642.6,1.5640625
trainscg,28,0.0568333333333333,123,15.3,27.7,3.9,23.9,340.2,15.1,7,6643.9,1.2765625
trainscg,29,0.0561805555555555,123.7,20.2,22.1,4.9,29.8,333.3,14.4,9.6,6642,1.425
trainscg,30,0.0571944444444445,120.2,18.3,27.5,3.6,27,337.4,16.2,8.8,6641,1.3078125
trainscg,31,0.0564027777777778,126.2,14.8,25,3.8,25.3,338.9,15.9,7.7,6642.4,1.296875
trainscg,32,0.0573611111111111,122.5,17.7,25.8,3.7,20.6,343.7,15,7.1,6643.9,1.2984375
trainscg,33,0.0552638888888889,121,15.7,29.3,3.4,34.3,330.3,12.8,6.4,6646.8,1.7
trainscg,34,0.0555694444444444,123.5,15.6,26.9,3.6,32.2,332.2,14.8,7,6644.2,1.4484375
trainscg,35,0.0593194444444444,109.7,14.5,41.8,3.2,15.7,349.1,13.1,5.4,6647.5,1.175
trainscg,36,0.0573194444444444,122.3,19.2,24.5,2.7,23.5,341.8,16.7,7.8,6641.5,1.3515625
trainscg,37,0.0556944444444444,124.7,14.9,26.4,3.2,29.8,335,15.6,5.9,6644.5,1.465625
trainscg,38,0.0555972222222222,122,19.9,24.1,2.5,36.2,329.3,15.5,9,6641.5,1.7078125
trainscg,39,0.0546805555555556,126.9,19.1,20,2.9,36.4,328.7,15.9,7.1,6643,1.8171875
trainscg,40,0.0556527777777778,125.1,16.4,24.5,2.4,30.5,335.1,16.5,5.8,6643.7,1.5328125
trainscg,41,0.0536111111111111,124.8,20.3,20.9,2.8,47.4,317.8,16,8.2,6641.8,1.8609375
trainscg,42,0.0562777777777778,112.2,15.8,38,2.4,36.6,329,14.6,5.4,6646,3.2609375
trainscg,43,0.056875,116.8,18.6,30.6,2.7,27.5,337.8,13.2,6.6,6646.2,1.5421875
trainscg,44,0.0563333333333333,119.8,17.8,28.4,2,29.2,336.8,14.6,6,6645.4,1.5265625
trainscg,45,0.0569027777777778,113.1,12.8,40.1,2.6,32.9,332.5,14,7.7,6644.3,1.5890625
trainscg,46,0.0563472222222222,125.8,15.1,25.1,3.1,26,338.9,17.3,6.2,6642.5,3.5140625
trainscg,47,0.0582777777777778,110.3,16.3,39.4,3.2,28,336.8,13.2,10.7,6642.1,1.571875
